year_month_week,year,month,day,year_month,week
1532011,1532,1,3,153201,1
1532012,1532,1,10,153201,2
1532013,1532,1,17,153201,3
1532014,1532,1,24,153201,4
1532015,1532,1,31,153201,5
1532021,1532,2,7,153202,1
1532022,1532,2,14,153202,2
1532023,1532,2,21,153202,3
1532024,1532,2,28,153202,4
1532031,1532,3,6,153203,1
1532032,1532,3,13,153203,2
1532033,1532,3,20,153203,3
1532034,1532,3,27,153203,4
1532041,1532,4,3,153204,1
1532042,1532,4,10,153204,2
1532043,1532,4,17,153204,3
1532044,1532,4,24,153204,4
1532051,1532,5,1,153205,1
1532052,1532,5,8,153205,2
1532053,1532,5,15,153205,3
1532054,1532,5,22,153205,4
1532055,1532,5,29,153205,5
1532061,1532,6,5,153206,1
1532062,1532,6,12,153206,2
1532063,1532,6,19,153206,3
1532064,1532,6,26,153206,4
1532071,1532,7,3,153207,1
1532072,1532,7,10,153207,2
1532073,1532,7,17,153207,3
1532074,1532,7,24,153207,4
1532075,1532,7,31,153207,5
1532081,1532,8,7,153208,1
1532082,1532,8,14,153208,2
1532083,1532,8,21,153208,3
1532084,1532,8,28,153208,4
1532091,1532,9,4,153209,1
1532092,1532,9,11,153209,2
1532093,1532,9,18,153209,3
1532094,1532,9,25,153209,4
1532101,1532,10,2,153210,1
1532102,1532,10,9,153210,2
1532103,1532,10,16,153210,3
1532104,1532,10,23,153210,4
1532105,1532,10,30,153210,5
1532111,1532,11,6,153211,1
1532112,1532,11,13,153211,2
1532113,1532,11,20,153211,3
1532114,1532,11,27,153211,4
1532121,1532,12,4,153212,1
1532122,1532,12,11,153212,2
1532123,1532,12,18,153212,3
1532124,1532,12,25,153212,4
1533011,1533,1,1,153301,1
1533012,1533,1,8,153301,2
1533013,1533,1,15,153301,3
1533014,1533,1,22,153301,4
1533015,1533,1,29,153301,5
1533021,1533,2,5,153302,1
1533022,1533,2,12,153302,2
1533023,1533,2,19,153302,3
1533024,1533,2,26,153302,4
1533031,1533,3,5,153303,1
1533032,1533,3,12,153303,2
1533033,1533,3,19,153303,3
1533034,1533,3,26,153303,4
1533041,1533,4,2,153304,1
1533042,1533,4,9,153304,2
1533043,1533,4,16,153304,3
1533044,1533,4,23,153304,4
1533045,1533,4,30,153304,5
1533051,1533,5,7,153305,1
1533052,1533,5,14,153305,2
1533053,1533,5,21,153305,3
